,pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough,time_duration,duration_in_minutes,trip_hour,trip_day,trip_day_num
597,2019-03-04 07:43:37,2019-03-04 07:51:11,1,2.06,8.5,1.0,0.0,12.8,yellow,credit card,Upper East Side North,Midtown East,Manhattan,Manhattan,0 days 00:07:34,7.566666666666666,7,Monday,1
598,2019-03-05 14:20:23,2019-03-05 14:28:41,1,0.82,7.0,0.0,0.0,10.3,yellow,cash,Midtown North,Lincoln Square East,Manhattan,Manhattan,0 days 00:08:18,8.3,14,Tuesday,2
599,2019-03-14 08:22:13,2019-03-14 08:32:32,1,1.86,9.5,0.0,0.0,12.8,yellow,cash,Upper East Side South,Upper West Side North,Manhattan,Manhattan,0 days 00:10:19,10.316666666666666,8,Thursday,4
600,2019-03-24 16:19:28,2019-03-24 16:27:01,3,0.9,6.5,1.0,0.0,10.8,yellow,credit card,Midtown North,Lenox Hill West,Manhattan,Manhattan,0 days 00:07:33,7.55,16,Sunday,0
601,2019-03-05 19:50:23,2019-03-05 20:19:31,6,8.37,28.0,3.81,5.76,41.87,yellow,credit card,SoHo,Midwood,Manhattan,Brooklyn,0 days 00:29:08,29.133333333333333,19,Tuesday,2
602,2019-03-14 17:33:46,2019-03-14 17:41:50,5,1.7,8.0,0.0,0.0,12.3,yellow,cash,Two Bridges/Seward Park,Gramercy,Manhattan,Manhattan,0 days 00:08:04,8.066666666666666,17,Thursday,4
603,2019-03-03 01:38:40,2019-03-03 01:49:06,5,2.07,9.5,2.66,0.0,15.96,yellow,credit card,SoHo,Kips Bay,Manhattan,Manhattan,0 days 00:10:26,10.433333333333334,1,Sunday,0
604,2019-03-24 12:24:59,2019-03-24 12:33:26,1,1.72,8.0,3.39,0.0,14.69,yellow,credit card,Lenox Hill East,Midtown East,Manhattan,Manhattan,0 days 00:08:27,8.45,12,Sunday,0
605,2019-03-04 17:17:37,2019-03-04 17:31:42,1,1.96,10.5,0.0,0.0,14.8,yellow,credit card,Midtown South,West Chelsea/Hudson Yards,Manhattan,Manhattan,0 days 00:14:05,14.083333333333334,17,Monday,1
607,2019-03-29 14:08:30,2019-03-29 14:13:20,1,0.81,5.5,0.0,0.0,8.8,yellow,cash,East Chelsea,West Chelsea/Hudson Yards,Manhattan,Manhattan,0 days 00:04:50,4.833333333333333,14,Friday,5
608,2019-03-26 14:26:40,2019-03-26 14:41:31,2,1.85,10.5,0.0,0.0,13.8,yellow,cash,East Village,Financial District South,Manhattan,Manhattan,0 days 00:14:51,14.85,14,Tuesday,2
609,2019-03-07 15:10:00,2019-03-07 15:17:50,1,1.18,7.0,3.09,0.0,13.39,yellow,credit card,Greenwich Village South,Union Sq,Manhattan,Manhattan,0 days 00:07:50,7.833333333333333,15,Thursday,4
610,2019-03-22 08:18:14,2019-03-22 08:35:44,5,1.41,11.5,2.96,0.0,17.76,yellow,credit card,Midtown South,East Chelsea,Manhattan,Manhattan,0 days 00:17:30,17.5,8,Friday,5
611,2019-03-29 23:02:19,2019-03-29 23:36:01,1,4.7,22.5,0.0,0.0,26.3,yellow,cash,Lincoln Square West,Lower East Side,Manhattan,Manhattan,0 days 00:33:42,33.7,23,Friday,5
612,2019-03-25 06:31:26,2019-03-25 07:09:53,1,14.74,41.53,0.0,5.76,48.09,yellow,credit card,Soundview/Castle Hill,Financial District South,Bronx,Manhattan,0 days 00:38:27,38.45,6,Monday,1
613,2019-03-23 16:19:54,2019-03-23 16:22:52,1,0.73,4.5,1.95,0.0,9.75,yellow,credit card,Hudson Sq,Meatpacking/West Village West,Manhattan,Manhattan,0 days 00:02:58,2.966666666666667,16,Saturday,6
614,2019-03-15 17:33:10,2019-03-15 17:48:38,1,1.66,11.0,0.0,0.0,15.3,yellow,cash,Lincoln Square East,Midtown East,Manhattan,Manhattan,0 days 00:15:28,15.466666666666667,17,Friday,5
615,2019-03-17 21:50:08,2019-03-17 21:53:53,1,0.41,4.5,1.66,0.0,9.96,yellow,credit card,West Village,Greenwich Village North,Manhattan,Manhattan,0 days 00:03:45,3.75,21,Sunday,0
616,2019-03-05 13:20:19,2019-03-05 13:36:33,2,1.26,10.5,1.38,0.0,15.18,yellow,credit card,Upper East Side North,Lenox Hill West,Manhattan,Manhattan,0 days 00:16:14,16.233333333333334,13,Tuesday,2
617,2019-03-04 06:47:08,2019-03-04 06:49:48,2,0.82,4.5,1.56,0.0,9.36,yellow,credit card,Upper East Side South,Midtown East,Manhattan,Manhattan,0 days 00:02:40,2.6666666666666665,6,Monday,1
618,2019-03-12 19:21:21,2019-03-12 19:31:36,2,1.74,9.0,2.16,0.0,12.96,yellow,credit card,Bloomingdale,Central Harlem North,Manhattan,Manhattan,0 days 00:10:15,10.25,19,Tuesday,2
619,2019-03-06 14:20:54,2019-03-06 14:26:36,2,1.23,6.0,1.86,0.0,11.16,yellow,credit card,Upper East Side South,Upper West Side North,Manhattan,Manhattan,0 days 00:05:42,5.7,14,Wednesday,3
620,2019-03-09 13:19:46,2019-03-09 13:29:10,5,0.96,7.5,0.0,0.0,10.8,yellow,cash,East Chelsea,Clinton East,Manhattan,Manhattan,0 days 00:09:24,9.4,13,Saturday,6
623,2019-03-25 00:02:17,2019-03-25 00:25:26,1,7.8,25.5,6.0,0.0,35.3,yellow,credit card,Greenwich Village South,Ridgewood,Manhattan,Queens,0 days 00:23:09,23.15,0,Monday,1
624,2019-03-05 09:59:42,2019-03-05 10:00:34,1,0.31,3.0,1.0,0.0,7.3,yellow,credit card,Upper West Side South,Upper West Side South,Manhattan,Manhattan,0 days 00:00:52,0.8666666666666667,9,Tuesday,2
625,2019-03-08 00:09:21,2019-03-08 00:29:04,1,4.3,17.0,3.0,0.0,23.8,yellow,credit card,East Chelsea,Brooklyn Heights,Manhattan,Brooklyn,0 days 00:19:43,19.716666666666665,0,Friday,5
626,2019-03-14 13:31:59,2019-03-14 13:51:33,1,1.3,12.5,3.16,0.0,18.96,yellow,credit card,Midtown North,Midtown South,Manhattan,Manhattan,0 days 00:19:34,19.566666666666666,13,Thursday,4
627,2019-03-24 20:39:39,2019-03-24 20:59:44,3,2.35,14.0,3.56,0.0,21.36,yellow,credit card,East Chelsea,Sutton Place/Turtle Bay North,Manhattan,Manhattan,0 days 00:20:05,20.083333333333332,20,Sunday,0
628,2019-03-30 10:37:45,2019-03-30 10:53:13,1,2.11,11.5,4.44,0.0,19.24,yellow,credit card,Stuy Town/Peter Cooper Village,West Chelsea/Hudson Yards,Manhattan,Manhattan,0 days 00:15:28,15.466666666666667,10,Saturday,6
629,2019-03-21 21:45:26,2019-03-21 21:50:08,1,0.76,5.0,1.32,0.0,10.12,yellow,credit card,Greenwich Village North,Gramercy,Manhattan,Manhattan,0 days 00:04:42,4.7,21,Thursday,4
630,2019-03-14 15:30:55,2019-03-14 15:35:27,5,0.5,5.0,2.49,0.0,10.79,yellow,credit card,Upper West Side South,Lincoln Square West,Manhattan,Manhattan,0 days 00:04:32,4.533333333333333,15,Thursday,4
631,2019-03-24 12:11:02,2019-03-24 12:12:54,1,0.34,3.5,0.0,0.0,6.8,yellow,cash,Lenox Hill West,Lenox Hill West,Manhattan,Manhattan,0 days 00:01:52,1.8666666666666667,12,Sunday,0
632,2019-03-02 20:23:12,2019-03-02 20:27:35,1,0.9,5.5,0.0,0.0,9.3,yellow,cash,West Village,Penn Station/Madison Sq West,Manhattan,Manhattan,0 days 00:04:23,4.383333333333334,20,Saturday,6
633,2019-03-01 14:47:03,2019-03-01 15:13:19,1,3.88,18.5,0.0,0.0,21.8,yellow,cash,World Trade Center,Clinton East,Manhattan,Manhattan,0 days 00:26:16,26.266666666666666,14,Friday,5
634,2019-03-08 00:06:51,2019-03-08 00:09:31,2,0.48,4.0,0.0,0.0,7.8,yellow,cash,East Village,Greenwich Village North,Manhattan,Manhattan,0 days 00:02:40,2.6666666666666665,0,Friday,5
635,2019-03-28 11:30:22,2019-03-28 11:40:46,2,0.85,7.5,2.16,0.0,12.96,yellow,credit card,Midtown Center,Garment District,Manhattan,Manhattan,0 days 00:10:24,10.4,11,Thursday,4
636,2019-03-05 23:57:47,2019-03-06 00:06:22,1,1.52,7.5,2.26,0.0,13.56,yellow,credit card,East Village,Meatpacking/West Village West,Manhattan,Manhattan,0 days 00:08:35,8.583333333333334,23,Tuesday,2
637,2019-03-12 22:15:40,2019-03-12 22:41:24,5,8.04,27.0,6.16,0.0,36.96,yellow,credit card,Greenwich Village South,Central Harlem,Manhattan,Manhattan,0 days 00:25:44,25.733333333333334,22,Tuesday,2
638,2019-03-07 14:27:58,2019-03-07 14:45:49,1,2.25,13.0,0.0,0.0,13.8,yellow,cash,Sunnyside,Elmhurst,Queens,Queens,0 days 00:17:51,17.85,14,Thursday,4
639,2019-03-19 18:22:18,2019-03-19 18:37:55,1,1.9,11.0,1.5,0.0,16.8,yellow,credit card,Penn Station/Madison Sq West,Lincoln Square East,Manhattan,Manhattan,0 days 00:15:37,15.616666666666667,18,Tuesday,2
640,2019-03-04 10:03:02,2019-03-04 10:16:43,1,1.8,10.5,2.76,0.0,16.56,yellow,credit card,Midtown South,West Chelsea/Hudson Yards,Manhattan,Manhattan,0 days 00:13:41,13.683333333333334,10,Monday,1
641,2019-03-04 13:07:08,2019-03-04 13:12:17,0,0.5,5.0,1.25,0.0,9.55,yellow,credit card,Upper East Side North,Upper East Side North,Manhattan,Manhattan,0 days 00:05:09,5.15,13,Monday,1
642,2019-03-05 18:01:11,2019-03-05 18:10:47,2,0.9,7.5,2.95,0.0,14.75,yellow,credit card,Union Sq,Murray Hill,Manhattan,Manhattan,0 days 00:09:36,9.6,18,Tuesday,2
643,2019-03-14 16:03:32,2019-03-14 16:24:29,1,1.6,13.5,3.56,0.0,21.36,yellow,credit card,Union Sq,Times Sq/Theatre District,Manhattan,Manhattan,0 days 00:20:57,20.95,16,Thursday,4
644,2019-03-30 21:50:51,2019-03-30 21:51:40,2,0.3,3.0,2.0,0.0,8.8,yellow,credit card,Lenox Hill East,Yorkville West,Manhattan,Manhattan,0 days 00:00:49,0.8166666666666667,21,Saturday,6
645,2019-03-13 10:42:22,2019-03-13 10:53:20,2,0.82,8.0,2.26,0.0,13.56,yellow,credit card,Sutton Place/Turtle Bay North,Midtown East,Manhattan,Manhattan,0 days 00:10:58,10.966666666666667,10,Wednesday,3
646,2019-03-19 19:21:13,2019-03-19 19:40:01,1,5.21,19.5,4.76,0.0,28.56,yellow,credit card,Gramercy,Yorkville West,Manhattan,Manhattan,0 days 00:18:48,18.8,19,Tuesday,2
647,2019-03-05 14:04:59,2019-03-05 14:33:05,1,2.78,18.0,0.0,0.0,21.3,yellow,cash,Lenox Hill East,Clinton East,Manhattan,Manhattan,0 days 00:28:06,28.1,14,Tuesday,2
648,2019-03-21 11:47:07,2019-03-21 12:00:06,2,0.88,9.0,3.08,0.0,15.38,yellow,credit card,Midtown North,Lincoln Square East,Manhattan,Manhattan,0 days 00:12:59,12.983333333333333,11,Thursday,4
649,2019-03-19 20:04:44,2019-03-19 20:18:55,1,2.27,11.0,2.96,0.0,17.76,yellow,credit card,Midtown South,Lenox Hill West,Manhattan,Manhattan,0 days 00:14:11,14.183333333333334,20,Tuesday,2
650,2019-03-11 14:47:42,2019-03-11 15:00:34,1,0.9,9.0,1.0,0.0,13.3,yellow,credit card,Midtown Center,Penn Station/Madison Sq West,Manhattan,Manhattan,0 days 00:12:52,12.866666666666667,14,Monday,1
651,2019-03-16 17:54:48,2019-03-16 18:30:32,1,6.34,27.5,6.0,0.0,36.8,yellow,credit card,Penn Station/Madison Sq West,East Williamsburg,Manhattan,Brooklyn,0 days 00:35:44,35.733333333333334,17,Saturday,6
652,2019-03-29 08:35:09,2019-03-29 08:44:52,1,1.2,8.0,1.5,0.0,12.8,yellow,credit card,Lincoln Square East,Midtown North,Manhattan,Manhattan,0 days 00:09:43,9.716666666666667,8,Friday,5
653,2019-03-08 10:24:07,2019-03-08 10:31:43,1,1.23,7.0,2.06,0.0,12.36,yellow,credit card,West Village,West Chelsea/Hudson Yards,Manhattan,Manhattan,0 days 00:07:36,7.6,10,Friday,5
654,2019-03-02 14:55:02,2019-03-02 15:02:32,1,0.43,6.0,1.86,0.0,11.16,yellow,credit card,Penn Station/Madison Sq West,Flatiron,Manhattan,Manhattan,0 days 00:07:30,7.5,14,Saturday,6
655,2019-03-20 13:17:32,2019-03-20 13:27:23,1,1.18,8.0,0.0,0.0,11.3,yellow,cash,Gramercy,Greenwich Village South,Manhattan,Manhattan,0 days 00:09:51,9.85,13,Wednesday,3
656,2019-03-20 17:22:19,2019-03-20 17:30:32,1,0.86,6.5,2.16,0.0,12.96,yellow,credit card,East Village,Greenwich Village North,Manhattan,Manhattan,0 days 00:08:13,8.216666666666667,17,Wednesday,3
657,2019-03-10 11:53:53,2019-03-10 12:01:39,0,1.0,6.5,0.0,0.0,9.8,yellow,cash,Times Sq/Theatre District,West Chelsea/Hudson Yards,Manhattan,Manhattan,0 days 00:07:46,7.766666666666667,11,Sunday,0
658,2019-03-23 03:12:19,2019-03-23 03:18:48,1,1.5,7.0,1.62,0.0,12.42,yellow,credit card,West Village,Little Italy/NoLiTa,Manhattan,Manhattan,0 days 00:06:29,6.483333333333333,3,Saturday,6
659,2019-03-15 18:55:51,2019-03-15 19:06:35,1,2.26,9.5,2.76,0.0,16.56,yellow,credit card,Garment District,Sutton Place/Turtle Bay North,Manhattan,Manhattan,0 days 00:10:44,10.733333333333333,18,Friday,5
660,2019-03-13 12:15:18,2019-03-13 12:38:20,1,2.76,16.0,3.86,0.0,23.16,yellow,credit card,Flatiron,Upper East Side South,Manhattan,Manhattan,0 days 00:23:02,23.033333333333335,12,Wednesday,3
661,2019-03-01 00:29:22,2019-03-01 00:32:48,4,0.74,4.5,1.0,0.0,9.3,yellow,credit card,Meatpacking/West Village West,Meatpacking/West Village West,Manhattan,Manhattan,0 days 00:03:26,3.433333333333333,0,Friday,5
662,2019-03-30 14:13:42,2019-03-30 14:19:13,2,0.9,6.0,0.0,0.0,9.3,yellow,cash,Midtown North,Times Sq/Theatre District,Manhattan,Manhattan,0 days 00:05:31,5.516666666666667,14,Saturday,6
663,2019-03-22 14:11:52,2019-03-22 14:19:38,1,1.31,7.0,2.06,0.0,12.36,yellow,credit card,Midtown South,Greenwich Village North,Manhattan,Manhattan,0 days 00:07:46,7.766666666666667,14,Friday,5
664,2019-03-20 13:03:59,2019-03-20 13:20:35,1,2.3,12.5,3.15,0.0,18.95,yellow,credit card,West Chelsea/Hudson Yards,Lincoln Square East,Manhattan,Manhattan,0 days 00:16:36,16.6,13,Wednesday,3
665,2019-03-03 10:03:38,2019-03-03 10:21:28,1,9.8,28.0,0.0,0.0,28.8,yellow,credit card,Central Harlem,Williamsbridge/Olinville,Manhattan,Bronx,0 days 00:17:50,17.833333333333332,10,Sunday,0
666,2019-03-30 00:33:57,2019-03-30 00:41:35,6,1.75,8.0,1.2,0.0,13.0,yellow,credit card,Midtown North,Lenox Hill East,Manhattan,Manhattan,0 days 00:07:38,7.633333333333334,0,Saturday,6
667,2019-03-20 09:31:34,2019-03-20 09:48:38,1,1.63,12.0,3.82,0.0,19.12,yellow,credit card,Lincoln Square West,Upper East Side South,Manhattan,Manhattan,0 days 00:17:04,17.066666666666666,9,Wednesday,3
668,2019-03-09 18:05:57,2019-03-09 18:40:11,1,4.63,23.0,5.26,0.0,31.56,yellow,credit card,Upper West Side North,Union Sq,Manhattan,Manhattan,0 days 00:34:14,34.233333333333334,18,Saturday,6
669,2019-03-29 08:50:54,2019-03-29 08:57:42,1,1.09,6.0,1.2,0.0,10.5,yellow,credit card,Greenwich Village North,Meatpacking/West Village West,Manhattan,Manhattan,0 days 00:06:48,6.8,8,Friday,5
670,2019-03-08 04:50:48,2019-03-08 04:51:07,1,0.0,2.5,0.0,0.0,6.3,yellow,cash,Lenox Hill East,Lenox Hill East,Manhattan,Manhattan,0 days 00:00:19,0.31666666666666665,4,Friday,5
672,2019-03-06 15:07:11,2019-03-06 15:11:29,1,0.48,4.5,1.56,0.0,9.36,yellow,credit card,Yorkville East,Yorkville East,Manhattan,Manhattan,0 days 00:04:18,4.3,15,Wednesday,3
673,2019-03-12 12:07:21,2019-03-12 12:18:08,1,1.8,9.5,0.0,0.0,10.3,yellow,cash,Washington Heights South,University Heights/Morris Heights,Manhattan,Bronx,0 days 00:10:47,10.783333333333333,12,Tuesday,2
674,2019-03-04 23:39:52,2019-03-04 23:50:06,1,2.68,10.5,2.86,0.0,17.16,yellow,credit card,Greenwich Village North,Midtown North,Manhattan,Manhattan,0 days 00:10:14,10.233333333333333,23,Monday,1
675,2019-03-01 02:51:42,2019-03-01 03:08:25,1,5.0,17.5,4.25,0.0,25.55,yellow,credit card,West Village,Upper West Side South,Manhattan,Manhattan,0 days 00:16:43,16.716666666666665,2,Friday,5
676,2019-03-21 08:29:48,2019-03-21 09:15:43,2,17.13,52.0,12.21,5.76,73.27,yellow,credit card,Midtown South,JFK Airport,Manhattan,Queens,0 days 00:45:55,45.916666666666664,8,Thursday,4
677,2019-03-26 15:08:40,2019-03-26 15:14:03,4,0.55,5.5,0.0,0.0,8.8,yellow,cash,Midtown North,Times Sq/Theatre District,Manhattan,Manhattan,0 days 00:05:23,5.383333333333334,15,Tuesday,2
678,2019-03-05 20:54:43,2019-03-05 20:59:44,1,1.1,5.5,2.75,0.0,12.05,yellow,credit card,Murray Hill,Midtown East,Manhattan,Manhattan,0 days 00:05:01,5.016666666666667,20,Tuesday,2
679,2019-03-06 17:29:47,2019-03-06 17:40:24,1,0.91,8.0,2.46,0.0,14.76,yellow,credit card,Union Sq,Murray Hill,Manhattan,Manhattan,0 days 00:10:37,10.616666666666667,17,Wednesday,3
680,2019-03-27 20:21:50,2019-03-27 20:32:32,2,2.05,9.0,2.56,0.0,15.36,yellow,credit card,West Village,Financial District North,Manhattan,Manhattan,0 days 00:10:42,10.7,20,Wednesday,3
681,2019-03-18 17:54:03,2019-03-18 17:57:34,1,0.71,4.5,1.11,0.0,9.91,yellow,credit card,West Village,SoHo,Manhattan,Manhattan,0 days 00:03:31,3.5166666666666666,17,Monday,1
682,2019-03-01 16:04:51,2019-03-01 16:16:59,1,2.0,10.0,0.0,0.0,14.3,yellow,cash,Upper East Side North,East Harlem North,Manhattan,Manhattan,0 days 00:12:08,12.133333333333333,16,Friday,5
683,2019-03-05 07:31:15,2019-03-05 07:47:00,1,6.03,19.0,4.46,0.0,26.76,yellow,credit card,Lenox Hill West,Financial District North,Manhattan,Manhattan,0 days 00:15:45,15.75,7,Tuesday,2
684,2019-03-11 20:48:45,2019-03-11 21:04:19,1,3.15,13.0,3.36,0.0,20.16,yellow,credit card,East Village,Sutton Place/Turtle Bay North,Manhattan,Manhattan,0 days 00:15:34,15.566666666666666,20,Monday,1
685,2019-03-06 23:07:04,2019-03-06 23:24:10,1,6.4,19.5,0.0,5.76,26.56,yellow,cash,LaGuardia Airport,Central Harlem North,Queens,Manhattan,0 days 00:17:06,17.1,23,Wednesday,3
686,2019-03-27 15:02:00,2019-03-27 15:31:19,1,3.79,20.0,0.0,0.0,23.3,yellow,cash,East Chelsea,Manhattan Valley,Manhattan,Manhattan,0 days 00:29:19,29.316666666666666,15,Wednesday,3
687,2019-03-08 23:36:13,2019-03-08 23:59:22,1,3.6,16.5,2.0,0.0,22.3,yellow,credit card,Upper West Side South,Union Sq,Manhattan,Manhattan,0 days 00:23:09,23.15,23,Friday,5
688,2019-03-25 22:24:47,2019-03-25 22:29:33,5,0.69,5.0,0.0,0.0,8.8,yellow,cash,Flatiron,Greenwich Village North,Manhattan,Manhattan,0 days 00:04:46,4.766666666666667,22,Monday,1
689,2019-03-29 21:08:42,2019-03-29 21:11:13,2,0.26,4.0,2.34,0.0,10.14,yellow,credit card,Upper West Side South,Upper West Side South,Manhattan,Manhattan,0 days 00:02:31,2.5166666666666666,21,Friday,5
690,2019-03-31 14:38:27,2019-03-31 14:57:02,1,3.35,14.0,0.0,0.0,17.3,yellow,cash,Penn Station/Madison Sq West,Financial District North,Manhattan,Manhattan,0 days 00:18:35,18.583333333333332,14,Sunday,0
691,2019-03-23 21:48:43,2019-03-23 21:58:19,1,1.4,8.0,2.95,0.0,14.75,yellow,credit card,Midtown South,Midtown Center,Manhattan,Manhattan,0 days 00:09:36,9.6,21,Saturday,6
692,2019-03-22 11:18:05,2019-03-22 11:27:31,1,1.43,8.0,0.0,0.0,11.3,yellow,cash,Midtown South,Kips Bay,Manhattan,Manhattan,0 days 00:09:26,9.433333333333334,11,Friday,5
693,2019-03-10 08:17:28,2019-03-10 08:21:07,1,0.64,4.5,0.0,0.0,7.8,yellow,cash,Upper West Side North,Upper West Side South,Manhattan,Manhattan,0 days 00:03:39,3.65,8,Sunday,0
694,2019-03-13 11:12:11,2019-03-13 11:47:17,1,7.0,28.5,6.35,0.0,38.15,yellow,credit card,Brooklyn Heights,Midtown East,Brooklyn,Manhattan,0 days 00:35:06,35.1,11,Wednesday,3
695,2019-03-22 07:28:03,2019-03-22 07:34:01,0,1.5,6.5,2.94,0.0,12.74,yellow,credit card,Union Sq,Times Sq/Theatre District,Manhattan,Manhattan,0 days 00:05:58,5.966666666666667,7,Friday,5
696,2019-03-06 11:44:21,2019-03-06 12:03:05,1,1.94,13.0,4.08,0.0,20.38,yellow,credit card,Upper East Side North,Midtown Center,Manhattan,Manhattan,0 days 00:18:44,18.733333333333334,11,Wednesday,3
697,2019-03-06 14:49:20,2019-03-06 15:00:14,1,1.15,8.5,2.36,0.0,14.16,yellow,credit card,Upper East Side South,Midtown East,Manhattan,Manhattan,0 days 00:10:54,10.9,14,Wednesday,3
698,2019-03-07 13:00:42,2019-03-07 13:26:42,2,3.21,17.5,4.16,0.0,24.96,yellow,credit card,Times Sq/Theatre District,Yorkville West,Manhattan,Manhattan,0 days 00:26:00,26.0,13,Thursday,4
699,2019-03-04 09:03:11,2019-03-04 09:20:35,1,3.7,15.0,0.0,0.0,18.3,yellow,cash,Astoria,UN/Turtle Bay South,Queens,Manhattan,0 days 00:17:24,17.4,9,Monday,1
700,2019-03-12 22:10:39,2019-03-12 22:19:06,1,1.33,7.5,2.26,0.0,13.56,yellow,credit card,Clinton East,Penn Station/Madison Sq West,Manhattan,Manhattan,0 days 00:08:27,8.45,22,Tuesday,2
701,2019-03-14 19:27:03,2019-03-14 19:30:46,1,1.0,5.0,1.85,0.0,11.15,yellow,credit card,Upper East Side South,Upper East Side North,Manhattan,Manhattan,0 days 00:03:43,3.716666666666667,19,Thursday,4
702,2019-03-06 22:02:51,2019-03-06 22:12:40,1,1.6,9.0,2.55,0.0,15.35,yellow,credit card,Clinton East,Upper West Side North,Manhattan,Manhattan,0 days 00:09:49,9.816666666666666,22,Wednesday,3
703,2019-03-01 06:44:12,2019-03-01 06:51:23,1,1.26,6.5,0.0,0.0,7.3,yellow,cash,Sunnyside,Astoria,Queens,Queens,0 days 00:07:11,7.183333333333334,6,Friday,5
704,2019-03-02 16:26:56,2019-03-02 16:31:23,1,0.6,5.0,1.65,0.0,9.95,yellow,credit card,Union Sq,Murray Hill,Manhattan,Manhattan,0 days 00:04:27,4.45,16,Saturday,6
705,2019-03-17 21:21:53,2019-03-17 21:27:29,1,0.76,6.0,1.96,0.0,11.76,yellow,credit card,Lincoln Square East,Lincoln Square East,Manhattan,Manhattan,0 days 00:05:36,5.6,21,Sunday,0
706,2019-03-07 23:42:53,2019-03-07 23:53:04,1,1.81,9.0,0.0,0.0,12.8,yellow,cash,Lincoln Square East,Upper East Side South,Manhattan,Manhattan,0 days 00:10:11,10.183333333333334,23,Thursday,4
707,2019-03-01 19:00:49,2019-03-01 19:11:37,3,1.73,9.0,2.66,0.0,15.96,yellow,credit card,East Village,UN/Turtle Bay South,Manhattan,Manhattan,0 days 00:10:48,10.8,19,Friday,5
708,2019-03-07 14:44:13,2019-03-07 15:13:12,1,3.04,19.0,4.46,0.0,26.76,yellow,credit card,Manhattan Valley,Midtown Center,Manhattan,Manhattan,0 days 00:28:59,28.983333333333334,14,Thursday,4
709,2019-03-30 00:02:40,2019-03-30 00:11:25,5,0.95,7.5,2.26,0.0,13.56,yellow,credit card,Midtown South,Kips Bay,Manhattan,Manhattan,0 days 00:08:45,8.75,0,Saturday,6
710,2019-03-30 19:01:35,2019-03-30 19:15:02,1,1.31,9.0,0.0,0.0,12.3,yellow,cash,Midtown North,Midtown South,Manhattan,Manhattan,0 days 00:13:27,13.45,19,Saturday,6
713,2019-03-08 12:36:26,2019-03-08 12:45:12,1,1.3,7.5,1.2,0.0,12.0,yellow,credit card,West Village,West Chelsea/Hudson Yards,Manhattan,Manhattan,0 days 00:08:46,8.766666666666667,12,Friday,5
714,2019-03-26 17:51:56,2019-03-26 18:04:02,1,1.9,10.0,3.55,0.0,17.85,yellow,credit card,Midtown East,Upper East Side North,Manhattan,Manhattan,0 days 00:12:06,12.1,17,Tuesday,2
715,2019-03-16 23:59:34,2019-03-17 00:19:39,1,3.8,16.5,1.5,0.0,21.8,yellow,credit card,Lower East Side,Bushwick South,Manhattan,Brooklyn,0 days 00:20:05,20.083333333333332,23,Saturday,6
716,2019-03-14 00:09:16,2019-03-14 00:14:32,1,0.67,5.0,1.76,0.0,10.56,yellow,credit card,Times Sq/Theatre District,Garment District,Manhattan,Manhattan,0 days 00:05:16,5.266666666666667,0,Thursday,4
717,2019-03-09 09:22:33,2019-03-09 09:35:41,6,5.26,17.5,0.0,0.0,20.8,yellow,cash,Midtown South,Financial District South,Manhattan,Manhattan,0 days 00:13:08,13.133333333333333,9,Saturday,6
718,2019-03-14 14:10:31,2019-03-14 14:29:43,1,1.53,12.5,0.0,0.0,15.8,yellow,cash,Upper West Side South,Midtown Center,Manhattan,Manhattan,0 days 00:19:12,19.2,14,Thursday,4
719,2019-03-31 11:04:13,2019-03-31 11:29:35,1,10.97,33.0,10.52,5.76,52.58,yellow,credit card,Upper East Side South,LaGuardia Airport,Manhattan,Queens,0 days 00:25:22,25.366666666666667,11,Sunday,0
720,2019-03-05 20:33:14,2019-03-05 20:56:57,1,7.43,24.5,5.66,0.0,33.96,yellow,credit card,TriBeCa/Civic Center,East Harlem South,Manhattan,Manhattan,0 days 00:23:43,23.716666666666665,20,Tuesday,2
721,2019-03-23 18:40:06,2019-03-23 18:52:52,1,1.55,9.5,2.56,0.0,15.36,yellow,credit card,East Village,East Chelsea,Manhattan,Manhattan,0 days 00:12:46,12.766666666666667,18,Saturday,6
722,2019-03-13 09:43:59,2019-03-13 10:00:02,2,2.16,12.5,3.16,0.0,18.96,yellow,credit card,Lincoln Square West,Central Park,Manhattan,Manhattan,0 days 00:16:03,16.05,9,Wednesday,3
723,2019-03-08 20:53:27,2019-03-08 20:59:44,2,1.0,6.0,1.5,0.0,11.3,yellow,credit card,Union Sq,East Chelsea,Manhattan,Manhattan,0 days 00:06:17,6.283333333333333,20,Friday,5
724,2019-03-06 06:36:47,2019-03-06 06:40:19,1,0.96,5.0,0.0,0.0,8.3,yellow,cash,Murray Hill,Midtown East,Manhattan,Manhattan,0 days 00:03:32,3.533333333333333,6,Wednesday,3
725,2019-03-06 16:30:34,2019-03-06 16:34:40,1,0.3,4.5,0.0,0.0,8.8,yellow,cash,Upper East Side North,Upper East Side North,Manhattan,Manhattan,0 days 00:04:06,4.1,16,Wednesday,3
726,2019-03-04 20:58:17,2019-03-04 21:09:14,6,2.6,11.0,2.86,0.0,17.16,yellow,credit card,Times Sq/Theatre District,Upper West Side North,Manhattan,Manhattan,0 days 00:10:57,10.95,20,Monday,1
